MO_SP_CODE,NameOnSheet
SACO,"Saccharina complenata (flat woody stipe, heart)"
SALANI,Saccharina latissima/nigripes complex (unkonwn)
SAJU,Sacharina spp juv (<30cm length)
AGFI,Agarum fimbriatum (stem frills)
SAMU,Sargassum muticum
PADA,Pandalus danae (coonstripe)
POMA,Pododesmus macrochisma (flat 'false jingle')
BOVI,Boltenia villosa (hairy tunicate)
CALI,Calliostoma ligatum (blue ring)
AGCL,Agarum clathratum (no stem frills)
PUPR,Pugettia producta (kelp)
CNFI,Cnemidocarpa finmarkiensis (red)
CNFI,"Cnemidocarpa finmarkiensis (red, shiny) - Solitary"
LEAE,Leptasterias aequalis (6 arm star)
BACR,"Balanus crenatus (small, colonial)"
COCO,Costaria costata (5 midribs)
DELI,Desmarestia ligulata (acid weed)
UKCT,Unknown Calcareous Tubeworm
PYHA,Pyura haustor (warty; pink siphons)
HELE,Henricia leviuscula (blood)
TETR,Terebratalia transversa (lamp shell)
PAGU,Pagurus spp (hermit crabs)
CAOR,Cancer oregonensis
PAPL,Pandalus platyceros (spot prawn)
GUNN,Gunnel (unidentified)
TOLI,Tonicella lineata (lined chiton)
TECH,Telmessus cheiragonus (helmet)
TEPU,Tegula pulligo (dusky turban)
PESP,Petrolistes sp. (porcelain crab)
CRST,Cryptochiton stelleri (gumboot)
DIAS,Diodora aspera (keyhole limpet)
HAKA,Haliotis kamtch. (pinto)
ENBI,Enophrys bison (buffalo sculpin)
CHHA,Chlamys hastata (rough scallop)
PACA,Parastichopus californicus
ARLA,Artedius lateralis (smoothhead sculpin)
PYHE,Pycnopodia helianthoides (sunflower)
CEFO,Ceratostoma foliatium (leafy hornmouth)
PSCH,Psolus chitonoides (armored)
MOSP,Mopalia spp. (chitons)
BANU,Balanus nubilis (giant barnacle)
CUMI,Cucumaria miniata (orange)
MEFR,M. franciscanus (>2.5cm)
LESP,Lepidozoma sp.
DOAL,Doriopsilla albopunctata (white spotted)
BRAN,BRANCH-flat branching 
CCA,Crustose coralline algae 
LEAF,"LEAF- blade, unbranched"
UKHY,Unknown Hydroid spp.
LACY,LACY-filamentous/dense 
B,
OPCA,Opuntiella californica (prickly pear round orbs)
S,
SCPA,Schizymenia pacifica (large slimy flexible blade)
SH,
LAMH,Laminariales (kelp) holdfast
BOSP,Bossiella spp. (flat wide segments)
HAIG,Halocynthia igaboja (bristly)
BS,
C,
PLPA,Plocamium pacificum (meandering axis)
CATU,Calliarthron tuberculosum (cylindrical segments)
